iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare
AGO,Neutral,-21.751977811983082,1.3280051690218073,9.129605906441412,-8.78571140383417,-0.9302931089823403,-1.6743477366787545
ALB,Western,-40.56959114852792,2.8921148714881184,3.8560602062933214,-1.4257121568990812,-0.3063787536725897,-0.5528163602640177
ARE,Neutral,-25.921679318338008,1.4907047746888509,2.249407498646761,-2.692682962477363,-0.9306067763683075,-1.6749101480151154
ARG,Western,-40.69713600819483,0.9012025930514653,1.5070488102261237,-7.042670905459218,-0.3642458313943422,-0.6570755355906783
ARM,Neutral,-25.38536193415017,2.79617756548312,2.1355689877309345,-10.529271184080073,-1.1755995661940375,-2.1137479516353324
ATG,Western,-38.221023753006556,2.745410846496881,1.2399963192305705,0.18691448534212896,-0.1542834620022262,-0.2785533188561118
AUS,Western,-65.04279612254857,0.7906788921927159,2.328998800768659,-23.70202081718753,-1.4087040222427163,-2.530477207192149
AUT,Western,-54.5487047299329,1.878687634042734,2.2845678489299956,-1.510552123040867,-0.40256485484113114,-0.7260880882183187
AZE,Neutral,5.616723524491292,1.8532957414964102,1.241475766973835,2.5956780674148234,0.2468531266854228,0.44640598256798114
BDI,Eastern,39.25566587259496,-47.61720431734249,-9.763455268307425,-9.941246360475745,-0.8944217920179369,-1.610020338009221
BEL,Western,-49.17414968754674,2.3494574006045923,2.63174745535197,-0.44443039355446956,-0.7259622570006172,-1.3076736264946618
BEN,Neutral,-26.254012447659406,2.1819998922010626,2.768905452480624,-1.945867761027003,-0.1722415486488842,-0.3109534665156559
BFA,Neutral,-20.56306515218678,0.7046710050542657,2.370917438097507,0.16110199062214292,-0.07025330269676999,-0.12688286403894722
BGD,Neutral,-24.91501329165689,1.3710435047555478,5.173706365062586,-2.5593637801092797,-0.2358946037175258,-0.42575904063220094
BGR,Western,-44.22601315010871,2.9496889497194445,1.6805378817396104,-2.463082540782594,-0.8898866049405427,-1.601886129692133
BHR,Neutral,-25.985590140386705,2.9331965799290174,1.4468288586041496,0.12850203686674888,-0.12588283981652637,-0.2273030555464004
BHS,Western,-7.428771104190091,0.18962672568493133,-7.9408991206418165,-1.4271639691092304,-0.21177300628471585,-0.38225992765937633
BIH,Western,-12.871642001335914,1.6662314546739054,2.2336697306383684,0.4766271580872825,-0.11856047787003376,-0.21408760147767225
BLR,Eastern,3.640397080826304,-35.88781768173854,4.600401741321846,-9.43036852873999,-1.8128610405212413,-3.251121436502558
BLZ,Neutral,-19.998608093252727,3.0375273797315288,3.738952618339937,0.03295689149368286,-0.2692487933119736,-0.48589355670006285
BOL,Eastern,0.4504417681289823,-61.733339441287065,-27.210011331834252,-42.438143870802165,-3.2750309447143877,-5.8383203825218715
BRA,Neutral,-27.060818794278916,1.8173555055764297,2.495237332125427,-7.349684196656099,-0.30764935434818597,-0.5551061271184494
BRB,Neutral,-26.189468861618238,2.7039281773709547,2.77949218241163,-0.14560922923227793,-0.08882521540303401,-0.16041314534449214
BRN,Neutral,-26.118971793515215,-2.374928210139444,2.5889195484227088,-3.425189452059911,-0.785672030914526,-1.4148865311873493
BTN,Neutral,4.945858127294613,3.8698719254110756,1.287403781210429,1.3893618488057484,0.015392028468724561,0.02780879135791281
BWA,Neutral,-23.195255277116203,1.5857801356994656,2.660693786096857,0.7586623249106594,-0.02244875062639551,-0.04055198826371509
CAF,Eastern,39.515440161828934,-29.866454916797906,19.663412929733383,-5.573546109074613,-0.7268941565913565,-1.3093473143889582
CAN,Western,-35.774003885157086,2.657269056161553,2.6177082249564876,-1.3268830294203156,-0.3316301072030967,-0.5983177551748042
CHE,Western,-59.90966897287798,2.5420482121561463,2.5169807549353322,-4.436791905624375,-0.926785587407295,-1.6680585887786492
CHL,Western,-65.84530357361396,1.4961836931507833,1.210179537540725,-20.53490954324357,-1.8418632427715806,-3.3027428473783544
CHN,Eastern,13.225768497107453,-48.94758864416552,-26.021099014306174,-35.88553957809046,-1.9068505724018792,-3.4183700073381402
CIV,Western,-38.64687218710999,2.478716392569808,1.9274072113578455,-3.691350488037756,-0.368263061248399,-0.6643115703723907
CMR,Neutral,-26.105148219634984,2.4194813756153195,2.58317612316624,-3.9173161317670093,-0.26039858210801015,-0.4699390260435905
COG,Eastern,5.630984247065626,-49.189306828039626,-24.3364659508575,-15.258937609649962,-9.64476518952219,-16.74204067185272
COL,Western,-43.938461423535905,2.371270484912941,2.609162713031594,-6.840490436648807,-0.4259915545288493,-0.7682690219733388
CRI,Western,-56.542391795012435,2.6479120117301704,3.2867405975299704,-5.048856791522525,-0.6258884099201794,-1.1278676571227635
CZE,Western,-44.880890604650844,2.787423307385808,2.97770439845128,-1.4663615132264454,-1.215433473175679,-2.1850166962479136
DEU,Western,-57.80274825709203,2.192809137719337,2.408530437756994,-3.884885077056495,-0.66825200202247,-1.2040015509651454
DMA,Western,-41.1619793493418,1.8686135898169738,-0.03444675618354154,0.6695460398627375,-0.14204533358230265,-0.25647047998231187
DNK,Western,-49.846502767863306,2.006171558959082,1.5376476165707231,-2.1297841342724553,-0.36135223971515984,-0.6518633081344092
DOM,Western,-41.367853190664945,3.9700250002806143,5.439451439892679,-2.1576723321949203,-0.2942878360345276,-0.5310259744862265
DZA,Eastern,0.10396935029179133,-39.6608666295927,2.08428032106589,-24.15666185530553,-1.7138490145284067,-3.074795925154575
ECU,Western,-51.50782451029772,1.8141804395192622,1.4932679391058912,-9.466086891366473,-0.7953024245995266,-1.4321736765256787
EGY,Neutral,-21.8222191620835,3.6713803275457764,3.449566484677561,-0.7756002292773587,-0.15851126977618435,-0.2861815922000943
ESP,Western,-47.723771791387755,1.8829819599267665,1.9127060020564102,-1.9952655736926346,-0.2896253959373496,-0.5226227038289153
EST,Western,-41.52009650271555,2.927778538772955,1.0549117353176314,-1.884281433034161,-0.8184093990685426,-1.4736465881022554
ETH,Eastern,14.860492249537174,-25.52577956098868,11.940098397404398,-1.8441121556203512,-0.1647958734614292,-0.29752048025906674
FIN,Western,-54.53343269309918,2.2663999638549797,2.500654968387394,-5.908891449706829,-0.7535050048314389,-1.357134942449818
FJI,Western,-43.405004985888304,5.790746006556873,2.787552631318576,-0.6552079387052032,-0.15597321270405473,-0.28160218320172703
FRA,Western,-52.00547311834924,1.6729649646256775,1.6481716362750234,-3.1441265873010025,-0.3350109626671127,-0.6044091442520312
GAB,Eastern,-0.4582159633732914,-48.877915174030434,-28.01490221338298,-20.39326818280361,-2.9632641411904643,-5.289299547853901
GBR,Western,-47.404769720628735,2.301916222338221,1.904661036358874,-3.638851088192837,-0.3379329871436454,-0.6096737094528493
GEO,Western,-54.54329682031843,5.924396345326713,6.849851825457222,-8.464387429347326,-1.145984381351525,-2.0607469910223557
GHA,Neutral,-27.896949172420634,1.7748245828619247,2.4128296816650163,-3.971942489682249,-0.35626577327532516,-0.6427007588498981
GIN,Neutral,-26.33291754644651,1.9365048040487522,6.084943845790747,-6.3778882227422855,-1.1738570334721032,-2.1106297740848987
GMB,Neutral,-26.0743032693362,-1.4550339122660034,1.4202200564498213,-5.507917929577161,-0.3710892733906803,-0.6694021436302506
GNB,Neutral,-27.163843599584965,2.3246542012644227,1.9754601605737605,0.11123514765469622,-0.09805887391785006,-0.17708199499411137
GRC,Western,-42.5656517027246,4.115518914425749,3.5157907180170156,-2.7479213449286135,-0.3649950124989374,-0.6584250158145011
