iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare,Trade_prod,Output_prod,Welfare_prod
ARG,Western,-40.69713600819483,0.9012025930514653,1.5070488102261237,-7.042670905459218,-0.3642458313943422,-0.6570755355906783,-5.197375587781252,-0.3816645062130135,-0.6884492194659089
AUS,Western,-65.04279612254857,0.7906788921927159,2.328998800768659,-23.70202081718753,-1.4087040222427163,-2.530477207192149,-21.752614999596446,-2.8100613710404616,-5.018987628750494
AUT,Western,-54.5487047299329,1.878687634042734,2.2845678489299956,-1.510552123040867,-0.40256485484113114,-0.7260880882183187,-1.7440808529071035,-0.7738364438296372,-1.3936390750102277
BEL,Western,-49.17414968754674,2.3494574006045923,2.63174745535197,-0.44443039355446956,-0.7259622570006172,-1.3076736264946618,-0.30982879784261286,-0.477473783950515,-0.8609372058497371
BGR,Western,-44.22601315010871,2.9496889497194445,1.6805378817396104,-2.463082540782594,-0.8898866049405427,-1.601886129692133,-4.8558487582167515,-1.8641625307541432,-3.342425285835887
BRA,Neutral,-27.060818794278916,1.8173555055764297,2.495237332125427,-7.349684196656099,-0.30764935434818597,-0.5551061271184494,-6.520308587018647,-0.41034167223865836,-0.740091520787928
BRN,Neutral,-26.118971793515215,-2.374928210139444,2.5889195484227088,-3.425189452059911,-0.785672030914526,-1.4148865311873493,-5.3484453164666945,-1.0011743091586993,-1.8014025087508116
CAN,Western,-35.774003885157086,2.657269056161553,2.6177082249564876,-1.3268830294203156,-0.3316301072030967,-0.5983177551748042,-0.5390314320352019,-0.6250582425502955,-1.1263754570327649
CHE,Western,-59.90966897287798,2.5420482121561463,2.5169807549353322,-4.436791905624375,-0.926785587407295,-1.6680585887786492,-3.0413113269932097,-0.8412497218772614,-1.5146332490235892
CHL,Western,-65.84530357361396,1.4961836931507833,1.210179537540725,-20.53490954324357,-1.8418632427715806,-3.3027428473783544,-16.82150000479659,-2.641117582660712,-4.720503440402695
CHN,Eastern,13.225768497107453,-48.94758864416552,-26.021099014306174,-35.88553957809046,-1.9068505724018792,-3.4183700073381402,-40.22317191270367,-1.1408592118360161,-2.051573406128398
COL,Western,-43.938461423535905,2.371270484912941,2.609162713031594,-6.840490436648807,-0.4259915545288493,-0.7682690219733388,-6.0970533292616835,-0.6097180270957523,-1.0988000862217575
CRI,Western,-56.542391795012435,2.6479120117301704,3.2867405975299704,-5.048856791522525,-0.6258884099201794,-1.1278676571227635,-2.852873195020109,-0.8775794374009251,-1.5798107612821042
CZE,Western,-44.880890604650844,2.787423307385808,2.97770439845128,-1.4663615132264454,-1.215433473175679,-2.1850166962479136,-1.7446403077692736,-0.8634266069352776,-1.5544220938894
DEU,Western,-57.80274825709203,2.192809137719337,2.408530437756994,-3.884885077056495,-0.66825200202247,-1.2040015509651454,-4.630274946507001,-0.999185197087769,-1.797838019478803
DNK,Western,-49.846502767863306,2.006171558959082,1.5376476165707231,-2.1297841342724553,-0.36135223971515984,-0.6518633081344092,-1.6778495410288201,-0.7204801497277771,-1.2978275274660689
ESP,Western,-47.723771791387755,1.8829819599267665,1.9127060020564102,-1.9952655736926346,-0.2896253959373496,-0.5226227038289153,-1.6277146335516761,-0.48543801919191765,-0.8752694031640544
EST,Western,-41.52009650271555,2.927778538772955,1.0549117353176314,-1.884281433034161,-0.8184093990685426,-1.4736465881022554,-2.859674817604727,-1.2765147925016862,-2.2942551832821323
FIN,Western,-54.53343269309918,2.2663999638549797,2.500654968387394,-5.908891449706829,-0.7535050048314389,-1.357134942449818,-6.465650208768622,-1.2250347131949297,-2.2021912668434425
FRA,Western,-52.00547311834924,1.6729649646256775,1.6481716362750234,-3.1441265873010025,-0.3350109626671127,-0.6044091442520312,-3.6666942629615136,-0.9289336984861052,-1.671910272297069
GBR,Western,-47.404769720628735,2.301916222338221,1.904661036358874,-3.638851088192837,-0.3379329871436454,-0.6096737094528493,-3.0809846734480146,-0.7068475267553822,-1.2733408525691345
GRC,Western,-42.5656517027246,4.115518914425749,3.5157907180170156,-2.7479213449286135,-0.3649950124989374,-0.6584250158145011,-2.545014771608905,-0.9318806732765381,-1.6771942536133935
HKG,Eastern,18.851788469293155,-50.48738205089313,-21.49858180455358,-12.572336825064397,-3.6755562342702888,-6.541552619295118,-16.68707270616703,-8.316267784109783,-14.517411398498353
HRV,Western,-44.02706168324662,1.9244787104024255,2.157462667095686,0.06915563060623242,-0.13233043942236122,-0.23893908492480875,-0.24995714117429202,-0.2766763582505263,-0.49928256060508147
HUN,Western,-48.71180040064731,2.9132968764800466,3.1682477620748983,-1.586786506940328,-1.1545361112063546,-2.076052951602776,-1.737383316482962,-1.0734944340010912,-1.9309609557710274
IDN,Neutral,-27.79074138153358,2.44288263642828,2.7682013493026716,-5.135882614215333,-0.35018854634351726,-0.6317530001389144,-5.276823649902994,-0.39587938802696954,-0.7140491059971765
IND,Neutral,-25.571849240778988,3.4741672983554963,3.1707454556281505,-1.713690272710906,-0.148478248033868,-0.2680784921911368,-2.231863557572453,-0.1971566758360268,-0.3558977863624051
IRL,Western,-62.94596659260622,3.0063120090607214,2.8265264620249724,-1.543783241480483,-0.43650741944966853,-0.7872007551909377,-0.8973770534877872,-0.9525560417928176,-1.7142620139447189
ISR,Western,-57.91164597759502,2.4133793923177365,1.8020276602094754,-5.96015051316661,-0.387562268737085,-0.6990709845606773,-6.91391197228198,-1.4616424525251261,-2.625006533488147
