iso_o,iso_d,tau_hat_1,tau_hat_2,tau_hat_3
AGO,AGO,1.00,1.00,1.00
AGO,ALB,1.00,1.00,1.00
AGO,ARE,1.00,1.00,1.00
AGO,ARG,1.00,1.00,1.00
AGO,ARM,1.00,1.00,1.00
AGO,ATG,1.00,1.00,1.00
AGO,AUS,1.00,1.00,1.00
AGO,AUT,1.00,1.00,1.00
AGO,AZE,1.00,1.00,1.00
AGO,BDI,1.00,1.00,1.10
AGO,BEL,1.00,1.00,1.00
AGO,BEN,1.00,1.00,1.00
AGO,BFA,1.00,1.00,1.00
AGO,BGD,1.00,1.00,1.00
AGO,BGR,1.00,1.00,1.00
AGO,BHR,1.00,1.00,1.00
AGO,BHS,1.00,1.00,1.00
AGO,BIH,1.00,1.00,1.00
AGO,BLR,1.00,1.00,1.00
AGO,BLZ,1.00,1.00,1.00
AGO,BOL,1.00,1.00,1.10
AGO,BRA,1.00,1.00,1.00
AGO,BRB,1.00,1.00,1.00
AGO,BRN,1.00,1.00,1.00
AGO,BTN,1.00,1.00,1.00
AGO,BWA,1.00,1.00,1.00
AGO,CAF,1.00,1.00,1.10
AGO,CAN,1.00,1.00,1.00
AGO,CHE,1.00,1.00,1.00
AGO,CHL,1.00,1.00,1.00
AGO,CHN,1.00,1.00,1.10
AGO,CIV,1.00,1.00,1.00
AGO,CMR,1.00,1.00,1.00
AGO,COG,1.00,1.00,1.10
AGO,COL,1.00,1.00,1.00
AGO,CRI,1.00,1.00,1.00
AGO,CZE,1.00,1.00,1.00
AGO,DEU,1.00,1.00,1.00
AGO,DMA,1.00,1.00,1.00
AGO,DNK,1.00,1.00,1.00
AGO,DOM,1.00,1.00,1.00
AGO,DZA,1.00,1.00,1.00
AGO,ECU,1.00,1.00,1.00
AGO,EGY,1.00,1.00,1.00
AGO,ESP,1.00,1.00,1.00
AGO,EST,1.00,1.00,1.00
AGO,ETH,1.00,1.00,1.00
AGO,FIN,1.00,1.00,1.00
AGO,FJI,1.00,1.00,1.00
AGO,FRA,1.00,1.00,1.00
AGO,GAB,1.00,1.00,1.10
AGO,GBR,1.00,1.00,1.00
AGO,GEO,1.00,1.00,1.00
AGO,GHA,1.00,1.00,1.00
AGO,GIN,1.00,1.00,1.00
AGO,GMB,1.00,1.00,1.00
AGO,GNB,1.00,1.00,1.00
AGO,GRC,1.00,1.00,1.00
AGO,GTM,1.00,1.00,1.00
AGO,HKG,1.00,1.00,1.10
AGO,HND,1.00,1.00,1.00
AGO,HRV,1.00,1.00,1.00
AGO,HTI,1.00,1.00,1.00
AGO,HUN,1.00,1.00,1.00
AGO,IDN,1.00,1.00,1.00
AGO,IND,1.00,1.00,1.00
AGO,IRL,1.00,1.00,1.00
AGO,IRQ,1.00,1.00,1.00
AGO,ISR,1.00,1.00,1.00
AGO,ITA,1.00,1.00,1.00
AGO,JAM,1.00,1.00,1.00
AGO,JPN,1.00,1.00,1.00
AGO,KAZ,1.00,1.00,1.10
AGO,KEN,1.00,1.00,1.00
AGO,KGZ,1.00,1.00,1.10
AGO,KHM,1.00,1.00,1.00
AGO,KIR,1.00,1.00,1.00
AGO,KOR,1.00,1.00,1.00
AGO,KWT,1.00,1.00,1.00
AGO,LAO,1.00,1.00,1.10
AGO,LBN,1.00,1.00,1.00
AGO,LBR,1.00,1.00,1.00
AGO,LKA,1.00,1.00,1.00
AGO,LSO,1.00,1.00,1.00
AGO,LTU,1.00,1.00,1.00
AGO,LVA,1.00,1.00,1.00
AGO,MAR,1.00,1.00,1.00
AGO,MDA,1.00,1.00,1.00
AGO,MDG,1.00,1.00,1.00
AGO,MDV,1.00,1.00,1.00
AGO,MEX,1.00,1.00,1.00
AGO,MLI,1.00,1.00,1.10
AGO,MMR,1.00,1.00,1.00
AGO,MNG,1.00,1.00,1.00
AGO,MOZ,1.00,1.00,1.00
AGO,MRT,1.00,1.00,1.00
AGO,MWI,1.00,1.00,1.00
AGO,MYS,1.00,1.00,1.00
AGO,NAM,1.00,1.00,1.00
AGO,NER,1.00,1.00,1.00
AGO,NGA,1.00,1.00,1.00
AGO,NIC,1.00,1.00,1.10
AGO,NLD,1.00,1.00,1.00
AGO,NOR,1.00,1.00,1.00
AGO,NPL,1.00,1.00,1.00
AGO,NZL,1.00,1.00,1.00
AGO,OMN,1.00,1.00,1.00
AGO,PAK,1.00,1.00,1.00
AGO,PAN,1.00,1.00,1.00
AGO,PER,1.00,1.00,1.00
AGO,PHL,1.00,1.00,1.00
AGO,PLW,1.00,1.00,1.00
AGO,PNG,1.00,1.00,1.00
AGO,POL,1.00,1.00,1.00
AGO,PRT,1.00,1.00,1.00
