iso_o;iso_d;trade
AGO;AGO;50624760
AGO;ALB;
AGO;ARE;2812388.75
AGO;ARG;2
AGO;ARM;319.699005126953
AGO;ATG;13.5120000839233
AGO;AUS;72.4039993286133
AGO;AUT;41.3790016174316
AGO;AZE;0.5
AGO;BDI;
AGO;BEL;357236.84375
AGO;BEN;9865.8359375
AGO;BFA;1059.42297363281
AGO;BGD;59.4949989318848
AGO;BGR;6788.27099609375
AGO;BHR;1.98399996757507
AGO;BHS;39.3680000305176
AGO;BIH;0.0209999997168779
AGO;BLR;
AGO;BLZ;
AGO;BOL;16.5960006713867
AGO;BRA;148928.375
AGO;BRB;
AGO;BRN;77672.421875
AGO;BTN;
AGO;BWA;7282.53515625
AGO;CAF;72.2639999389648
AGO;CAN;22215.3125
AGO;CHE;552.460998535156
AGO;CHL;197914.65625
AGO;CHN;23308304
AGO;CIV;4022.72412109375
AGO;CMR;1861.42004394531
AGO;COG;137641.53125
AGO;COL;5.82000017166138
AGO;CRI;0.135000005364418
AGO;CZE;475.571014404297
AGO;DEU;2083.955078125
AGO;DMA;
AGO;DNK;411.502014160156
AGO;DOM;7108.7158203125
AGO;DZA;103.290000915527
AGO;ECU;7.37200021743774
AGO;EGY;121.620002746582
AGO;ESP;1075144.75
AGO;EST;0.178000003099442
AGO;ETH;0.0560000017285347
AGO;FIN;164.807998657227
AGO;FJI;
AGO;FRA;511190.28125
AGO;GAB;878.536987304688
AGO;GBR;23084.775390625
AGO;GEO;
AGO;GHA;9384.8779296875
AGO;GIN;
AGO;GMB;4.28399991989136
AGO;GNB;56.3059997558594
AGO;GRC;2.56399989128113
AGO;GTM;8.30000019073486
AGO;HKG;22791.3671875
AGO;HND;
AGO;HRV;
AGO;HTI;
AGO;HUN;0.741999983787537
AGO;IDN;89758.3203125
AGO;IND;3801730
AGO;IRL;0.41499999165535
AGO;IRQ;
AGO;ISR;
AGO;ITA;528254.625
AGO;JAM;
AGO;JPN;62611.625
AGO;KAZ;5.62799978256226
AGO;KEN;
AGO;KGZ;
AGO;KHM;
AGO;KIR;
AGO;KOR;16756
