iso_o,iso_d,trade
ARG,ARG,263638.4
ARG,AUS,462.8
ARG,AUT,51.1
ARG,BEL,123.9
ARG,BGR,38.1
ARG,BRA,8371.5
ARG,BRN,10.9
ARG,CAN,596.7000000000001
ARG,CHE,204.8
ARG,CHL,3006.8
ARG,CHN,4139.6
ARG,COL,627.7999999999998
ARG,CRI,107.6
ARG,CYP,17.90000000000001
ARG,CZE,61.3
ARG,DEU,1165.2
ARG,DNK,115.8
ARG,ESP,1503.1
ARG,EST,2
ARG,FIN,15.1
ARG,FRA,311
ARG,GBR,683.4000000000001
ARG,GRC,113.4
ARG,HKG,96.40000000000001
ARG,HRV,4.7
ARG,HUN,18.4
ARG,IDN,983.1
ARG,IND,2487.7
ARG,IRL,269.8
ARG,ISL,2.5
ARG,ISR,139.2
ARG,ITA,843.5
ARG,JPN,702.0000000000001
ARG,KAZ,19.5
ARG,KHM,18.3
ARG,KOR,384.5
ARG,LAO,1.6
ARG,LTU,15.4
ARG,LUX,32.3
ARG,LVA,5.799999999999999
ARG,MAR,227.7999999999999
ARG,MEX,777.6000000000001
ARG,MLT,1.1
ARG,MMR,.9999999999999999
ARG,MYS,747.5
ARG,NLD,691.9
ARG,NOR,32.3
ARG,NZL,107.5
ARG,PER,724.2000000000002
ARG,PHL,211.1
ARG,POL,458.6
ARG,PRT,45.3
ARG,ROU,43.6
ARG,RUS,540.4
ARG,SAU,773.5
ARG,SGP,30.4
ARG,SVK,28.00000000000001
ARG,SVN,17.7
ARG,SWE,46.4
ARG,THA,377.0000000000001
ARG,TUN,49.40000000000001
ARG,TUR,438.5000000000001
ARG,TWN,88.90000000000001
ARG,USA,4448.900000000001
ARG,VNM,1694.9
ARG,ZAF,353.4
AUS,ARG,566.1999999999999
AUS,AUS,378504.7000000001
AUS,AUT,122
AUS,BEL,607
AUS,BGR,11.6
AUS,BRA,1348.4
AUS,BRN,42.90000000000001
AUS,CAN,1011.4
AUS,CHE,274.6
AUS,CHL,353.5
AUS,CHN,84915.09999999999
AUS,COL,49.49999999999999
AUS,CRI,4.2
AUS,CYP,2.1
AUS,CZE,112.1
AUS,DEU,2068.9
AUS,DNK,59.20000000000002
AUS,ESP,808.2000000000001
AUS,EST,5.599999999999998
AUS,FIN,61.40000000000001
AUS,FRA,1006.7
AUS,GBR,1787.9
AUS,GRC,11.7
AUS,HKG,2427.6
AUS,HRV,1.9
AUS,HUN,27.1
AUS,IDN,4426
AUS,IND,14300.6
AUS,IRL,152.3
AUS,ISL,45.40000000000001
AUS,ISR,97.8
AUS,ITA,506.4999999999999
AUS,JPN,43139.2
AUS,KAZ,19.6
AUS,KHM,20.3
AUS,KOR,19199.9
AUS,LAO,19.2
AUS,LTU,1.3
AUS,LUX,8.299999999999999
AUS,LVA,.7999999999999999
AUS,MAR,14.1
AUS,MEX,184
AUS,MLT,3.100000000000001
AUS,MMR,79.40000000000001
AUS,MYS,2889
AUS,NLD,954.6
AUS,NOR,118.8
AUS,NZL,3310.4
AUS,PER,66.39999999999999
AUS,PHL,1202.3
